loc,v(g),l,d,i,e,b,t,lOBlank,locCodeAndComment,uniq_Op,defects
13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
26.0,34.0,0.01,104.0,14.06,152114.74,0.49,8450.82,2,0,14.0,True
43.0,11.0,0.07,14.56,88.65,18789.41,0.43,1043.85,10,0,11.0,True
67.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
17.0,5.0,0.11,9.0,25.11,2033.51,0.08,112.97,1,0,14.0,True
31.0,4.0,0.11,9.0,20.89,1691.85,0.06,93.99,7,0,12.0,True
42.0,7.0,0.06,17.5,24.82,7599.79,0.14,422.21,6,5,18.0,True
19.0,2.0,0.1,10.0,17.13,1713.0,0.06,95.17,3,0,12.0,True
20.0,3.0,0.13,7.82,42.69,2607.88,0.11,144.88,5,0,11.0,True
13.0,5.0,0.06,15.83,14.77,3702.36,0.08,205.69,1,0,15.0,True
14.0,3.0,0.16,6.3,13.3,527.7,0.03,29.32,1,0,9.0,True
20.0,4.0,0.07,15.33,14.61,3434.79,0.07,190.82,2,0,12.0,True
130.0,25.0,0.02,49.5,56.84,139267.55,0.94,7737.09,20,0,24.0,True
37.0,6.0,0.07,13.93,22.67,4398.21,0.11,244.34,3,2,15.0,True
24.0,8.0,0.08,13.24,27.2,4764.71,0.12,264.71,2,0,15.0,True
89.0,9.0,0.03,33.21,38.41,42377.72,0.43,2354.32,13,0,25.0,True
28.0,9.0,0.03,30.35,22.06,20327.18,0.22,1129.29,3,0,24.0,True
91.0,11.0,0.05,21.71,66.92,31551.52,0.48,1752.86,15,0,19.0,True
42.0,6.0,0.12,8.67,75.4,5663.15,0.22,314.62,1,0,12.0,True
74.0,8.0,0.02,58.83,28.54,98758.54,0.56,5486.59,5,1,23.0,True
33.0,4.0,0.07,14.0,23.93,4690.0,0.11,260.56,5,0,16.0,True
96.0,11.0,0.04,22.75,58.69,30374.3,0.45,1687.46,13,2,18.0,True
6.0,1.0,0.67,1.5,17.23,38.77,0.01,2.15,0,0,3.0,True
9.0,3.0,0.14,7.07,13.56,678.21,0.03,37.68,1,0,11.0,True
21.0,7.0,0.07,13.93,29.01,5632.38,0.13,312.91,1,0,11.0,True
113.0,19.0,0.03,39.52,61.24,95624.29,0.81,5312.46,12,0,16.0,True
5.0,1.0,0.4,2.5,13.95,87.17,0.01,4.84,0,0,5.0,True
7.0,2.0,0.23,4.38,11.07,211.89,0.02,11.77,0,0,7.0,True
43.0,4.0,0.06,17.86,39.66,12647.85,0.24,702.66,11,0,15.0,True
63.0,12.0,0.05,19.73,46.68,18164.52,0.31,1009.14,5,1,21.0,True
8.0,1.0,0.36,2.81,23.68,187.33,0.02,10.41,1,0,5.0,True
8.0,1.0,0.5,2.0,23.25,93.01,0.02,5.17,2,0,4.0,True
8.0,1.0,0.5,2.0,23.25,93.01,0.02,5.17,2,0,4.0,True
573.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
104.0,13.0,0.02,58.15,29.68,100356.31,0.58,5575.35,9,6,25.0,True
77.0,8.0,0.02,56.21,25.49,80523.48,0.48,4473.53,7,2,24.0,True
39.0,4.0,0.07,13.57,42.69,7854.69,0.19,436.37,8,0,13.0,True
30.0,4.0,0.04,26.0,22.68,15330.08,0.2,851.67,4,3,26.0,True
79.0,7.0,0.07,15.0,51.44,11575.03,0.26,643.06,16,7,13.0,True
240.0,40.0,0.01,90.63,84.39,693194.02,2.55,38510.78,31,8,38.0,True
86.0,12.0,0.05,18.38,42.98,14512.58,0.26,806.25,14,0,24.0,True
82.0,15.0,0.08,11.86,87.27,12282.72,0.35,682.37,17,0,9.0,True
101.0,22.0,0.02,54.08,31.05,90814.72,0.56,5045.26,14,0,22.0,True
55.0,12.0,0.03,34.15,35.08,40908.48,0.4,2272.69,10,0,27.0,True
41.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
35.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
8.0,1.0,0.32,3.12,11.16,108.97,0.01,6.05,2,0,5.0,True
200.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
27.0,2.0,0.11,8.75,32.77,2508.86,0.1,139.38,4,0,10.0,True
32.0,3.0,0.09,11.2,34.44,4323.1,0.13,240.17,6,0,17.0,True
41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
165.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
23.0,4.0,0.08,12.12,21.03,3086.88,0.08,171.49,2,0,15.0,True
16.0,3.0,0.09,11.64,17.16,2323.84,0.07,129.1,2,0,16.0,True
54.0,7.0,0.04,27.2,28.32,20951.94,0.26,1164.0,4,0,12.0,True
31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
15.0,1.0,0.11,9.38,30.92,2717.75,0.1,150.99,4,0,9.0,True
7.0,1.0,0.14,7.0,12.85,629.62,0.03,34.98,0,0,7.0,True
31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
81.0,24.0,0.02,49.24,25.46,61718.34,0.42,3428.8,2,0,22.0,True
27.0,8.0,0.05,18.42,18.73,6352.21,0.11,352.9,6,0,17.0,True
164.0,5.0,0.03,37.4,145.12,202995.67,1.81,11277.54,16,0,15.0,True
116.0,2.0,0.06,17.82,187.35,59506.88,1.11,3305.94,23,0,16.0,True
56.0,5.0,0.05,20.09,71.14,28722.62,0.48,1595.7,9,0,16.0,True
60.0,8.0,0.03,32.1,26.99,27818.77,0.29,1545.49,8,0,23.0,True
36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
184.0,9.0,0.03,35.93,129.78,167499.82,1.55,9305.55,29,0,19.0,True
469.0,2.0,0.02,43.85,186.83,359168.94,2.73,19953.83,47,7,16.0,True
242.0,3.0,0.03,29.78,312.17,276879.2,3.1,15382.18,52,0,18.0,True
96.0,1.0,0.05,18.75,150.87,53039.56,0.94,2946.64,14,0,10.0,True
463.0,94.0,0.01,71.81,177.24,913945.71,4.24,50774.76,34,0,26.0,True
169.0,5.0,0.03,38.3,142.72,209353.17,1.82,11630.73,15,0,15.0,True
221.0,1.0,0.03,29.66,326.75,287464.24,3.23,15970.24,47,0,11.0,True
95.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
85.0,4.0,0.02,45.85,35.17,73943.47,0.54,4107.97,15,0,14.0,True
113.0,1.0,0.05,18.37,186.54,62970.12,1.14,3498.34,16,0,8.0,True
91.0,2.0,0.07,14.34,113.29,23292.68,0.54,1294.04,24,0,14.0,True
22.0,3.0,0.13,8.0,38.46,2461.66,0.1,136.76,4,0,12.0,True
57.0,7.0,0.03,36.5,26.6,35432.13,0.32,1968.45,8,1,25.0,True
22.0,2.0,0.1,9.71,32.68,3079.54,0.11,171.09,4,0,11.0,True
22.0,2.0,0.11,9.17,34.98,2939.08,0.11,163.28,4,0,11.0,True
163.0,5.0,0.03,37.21,147.28,203890.96,1.83,11327.28,15,0,15.0,True
166.0,1.0,0.18,5.47,134.31,4016.98,0.24,223.17,18,0,5.0,True
15.0,1.0,0.29,3.46,39.27,470.54,0.05,26.14,2,0,6.0,True
41.0,5.0,0.09,10.98,54.01,6514.48,0.2,361.92,6,0,13.0,True
61.0,26.0,0.03,32.09,55.94,57612.92,0.6,3200.72,10,0,23.0,True
56.0,6.0,0.03,33.39,25.62,28563.14,0.29,1586.84,11,0,24.0,True
55.0,6.0,0.04,26.35,28.76,19975.32,0.25,1109.74,6,0,14.0,True
415.0,9.0,0.02,55.06,280.16,849494.97,5.14,47194.17,27,0,19.0,True
43.0,2.0,0.1,9.73,75.51,7142.89,0.24,396.83,9,6,9.0,True
21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
163.0,5.0,0.03,38.3,142.72,209353.17,1.82,11630.73,15,0,15.0,True
168.0,5.0,0.03,38.29,144.81,212301.39,1.85,11794.52,14,0,15.0,True
324.0,6.0,0.02,44.35,252.67,496927.66,3.74,27607.09,33,1,17.0,True
169.0,5.0,0.03,37.8,144.98,207105.85,1.83,11505.88,18,0,15.0,True
139.0,5.0,0.03,38.06,154.83,224308.42,1.96,12461.58,38,0,15.0,True
455.0,23.0,0.02,65.16,207.25,879854.82,4.5,48880.82,76,1,26.0,True
66.0,3.0,0.13,7.5,172.88,9724.72,0.43,540.26,2,0,10.0,True
106.0,3.0,0.05,19.99,134.61,53766.34,0.9,2987.02,9,0,14.0,True
123.0,2.0,0.03,33.1,134.61,147512.6,1.49,8195.13,15,0,20.0,True
124.0,7.0,0.03,36.63,109.36,146687.9,1.34,8149.33,10,0,15.0,True
163.0,5.0,0.03,37.21,147.28,203890.96,1.83,11327.28,13,0,15.0,True
77.0,1.0,0.1,10.45,217.61,23753.18,0.76,1319.62,8,0,8.0,True
26.0,2.0,0.15,6.8,24.53,1134.22,0.06,63.01,3,0,8.0,True
65.0,7.0,0.03,28.6,33.02,27006.41,0.31,1500.36,14,0,22.0,True
52.0,6.0,0.04,25.2,24.87,15796.21,0.21,877.57,9,0,21.0,True
24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
53.0,10.0,0.06,17.5,37.52,11490.16,0.22,638.34,9,7,14.0,True
