b,lOCode,e,v,n,i,t,loc,d,v(g),defects
0.0,0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,55.0,True
0.58,53,55302.55,1725.75,309.0,53.85,3072.36,68.0,32.04,5.0,True
0.12,23,3769.56,371.38,73.0,36.59,209.42,37.0,10.15,4.0,True
0.59,76,61473.97,1759.26,288.0,50.35,3415.22,106.0,34.94,12.0,True
0.02,14,237.6,72.0,18.0,21.82,13.2,18.0,3.3,1.0,True
0.55,64,46222.9,1636.21,277.0,57.92,2567.94,100.0,28.25,11.0,True
0.6,85,47150.8,1802.66,277.0,68.92,2619.49,99.0,26.16,14.0,True
0.31,37,28502.18,942.93,176.0,31.19,1583.45,53.0,30.23,6.0,True
0.01,2,60.0,30.0,10.0,15.0,3.33,4.0,2.0,1.0,True
0.01,2,60.0,30.0,10.0,15.0,3.33,4.0,2.0,1.0,True
0.01,2,60.0,30.0,10.0,15.0,3.33,4.0,2.0,1.0,True
0.01,2,60.0,30.0,10.0,15.0,3.33,4.0,2.0,1.0,True
0.01,2,60.0,30.0,10.0,15.0,3.33,4.0,2.0,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,True
0.03,7,656.36,82.04,21.0,10.26,36.46,14.0,8.0,3.0,True
0.04,8,1100.0,120.0,30.0,13.09,61.11,11.0,9.17,2.0,True
1.01,107,74486.0,3020.18,448.0,122.46,4138.1,174.0,24.66,15.0,True
0.16,29,5201.91,485.51,98.0,45.31,288.99,33.0,10.71,4.0,True
0.01,2,60.0,24.0,8.0,9.6,3.33,4.0,2.5,1.0,True
0.08,9,1840.8,236.0,59.0,30.26,102.27,13.0,7.8,2.0,True
0.77,92,43059.58,2317.91,352.0,124.77,2392.2,135.0,18.58,11.0,True
0.25,38,18080.85,760.98,137.0,32.03,1004.49,49.0,23.76,6.0,True
0.42,40,34716.98,1268.92,226.0,46.38,1928.72,45.0,27.36,6.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,4.0,True
0.24,32,16913.84,723.59,131.0,30.96,939.66,40.0,23.38,5.0,True
0.36,34,22476.1,1089.07,195.0,52.77,1248.67,59.0,20.64,7.0,True
0.19,23,11828.05,576.98,107.0,28.15,657.11,31.0,20.5,4.0,True
0.36,36,31713.43,1094.87,195.0,37.8,1761.86,45.0,28.97,9.0,True
0.11,21,5030.26,338.58,69.0,22.79,279.46,31.0,14.86,6.0,True
0.11,17,5181.53,339.27,75.0,22.21,287.86,28.0,15.27,2.0,True
0.21,33,13343.0,639.53,121.0,30.65,741.28,49.0,20.86,3.0,True
0.18,21,11464.81,545.94,100.0,26.0,636.93,30.0,21.0,5.0,True
0.89,93,114716.17,2658.73,423.0,61.62,6373.12,146.0,43.15,15.0,True
1.01,105,127774.61,3042.25,462.0,72.43,7098.59,127.0,42.0,16.0,True
0.69,68,91475.26,2083.96,350.0,47.48,5081.96,85.0,43.89,18.0,True
0.18,21,10568.94,528.45,98.0,26.42,587.16,28.0,20.0,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,True
0.69,88,76123.38,2081.07,323.0,56.89,4229.08,127.0,36.58,23.0,True
0.27,34,23153.61,813.99,160.0,28.62,1286.31,45.0,28.44,12.0,True
0.15,24,4764.79,438.86,87.0,40.42,264.71,31.0,10.86,3.0,True
0.06,9,1936.26,165.67,39.0,14.17,107.57,11.0,11.69,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,6.0,True
0.16,27,11422.07,465.34,99.0,18.96,634.56,61.0,24.55,8.0,True
0.02,7,241.76,59.21,16.0,14.5,13.43,12.0,4.08,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,True
0.17,20,6186.03,502.11,95.0,40.76,343.67,28.0,12.32,3.0,True
0.11,19,10567.04,330.22,73.0,10.32,587.06,55.0,32.0,4.0,True
0.11,12,7916.23,339.27,75.0,14.54,439.79,38.0,23.33,6.0,True
0.13,12,17128.1,396.48,97.0,9.18,951.56,14.0,43.2,10.0,True
0.22,38,24187.25,651.2,128.0,17.53,1343.74,142.0,37.14,11.0,True
0.17,21,6186.03,502.11,95.0,40.76,343.67,29.0,12.32,3.0,True
0.02,7,369.12,70.31,19.0,13.39,20.51,15.0,5.25,2.0,True
0.19,33,19097.28,574.69,116.0,17.29,1060.96,54.0,33.23,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,6.0,True
0.08,13,1645.08,238.42,52.0,34.55,91.39,29.0,6.9,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,True
0.07,14,1253.84,222.91,48.0,39.63,69.66,24.0,5.63,4.0,True
0.08,15,1306.45,235.02,50.0,42.28,72.58,25.0,5.56,4.0,True
0.74,79,111794.23,2215.84,364.0,43.92,6210.79,88.0,50.45,14.0,True
0.64,100,43717.5,1909.43,292.0,83.4,2428.75,116.0,22.9,13.0,True
0.45,57,21503.57,1338.0,223.0,83.25,1194.64,71.0,16.07,5.0,True
0.37,38,20667.93,1097.19,185.0,58.25,1148.22,49.0,18.84,4.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,10.0,True
0.06,9,1631.15,188.87,43.0,21.87,90.62,19.0,8.64,2.0,True
0.53,67,45774.99,1577.18,260.0,54.34,2543.06,99.0,29.02,9.0,True
0.4,54,32355.38,1195.74,205.0,44.19,1797.52,84.0,27.06,8.0,True
0.49,48,44979.31,1459.67,269.0,47.37,2498.85,77.0,30.81,10.0,True
0.69,68,132580.53,2061.5,349.0,32.04,7365.58,139.0,64.31,20.0,True
0.24,26,13396.47,721.35,143.0,38.84,744.25,37.0,18.57,5.0,True
0.16,16,5641.32,485.0,97.0,41.7,313.41,29.0,11.63,3.0,True
0.06,14,1680.79,180.09,41.0,19.29,93.38,20.0,9.33,3.0,True
0.18,18,6283.02,534.18,105.0,45.42,349.06,31.0,11.76,3.0,True
0.14,14,9410.28,427.74,91.0,19.44,522.78,34.0,22.0,5.0,True
0.32,47,17443.19,953.81,169.0,52.16,969.07,62.0,18.29,6.0,True
2.53,79,691554.81,7582.84,1229.0,83.15,38419.71,132.0,91.2,31.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,True
0.26,38,7845.03,792.05,137.0,79.97,435.83,68.0,9.9,4.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,True
0.04,3,463.52,110.36,27.0,26.28,25.75,22.0,4.2,1.0,True
0.03,7,351.62,78.14,20.0,17.36,19.53,10.0,4.5,2.0,True
0.26,55,15750.5,787.52,149.0,39.38,875.03,76.0,20.0,8.0,True
0.14,14,4017.03,434.27,84.0,46.95,223.17,20.0,9.25,2.0,True
0.14,14,4158.72,430.86,84.0,44.64,231.04,20.0,9.65,2.0,True
0.12,13,7307.05,357.23,76.0,17.46,405.95,31.0,20.45,6.0,True
0.32,68,33300.26,965.22,179.0,27.98,1850.01,89.0,34.5,21.0,True
0.38,48,35639.87,1154.91,198.0,37.43,1979.99,81.0,30.86,9.0,True
0.14,24,5784.24,433.82,86.0,32.54,321.35,30.0,13.33,2.0,True
0.26,37,24093.43,775.96,143.0,24.99,1338.52,47.0,31.05,11.0,True
1.18,148,213471.74,3549.05,581.0,59.0,11859.54,191.0,60.15,27.0,True
0.12,20,5665.86,363.2,72.0,23.28,314.77,36.0,15.6,7.0,True
0.12,33,5053.28,346.79,70.0,23.8,280.74,43.0,14.57,12.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,31.0,True
0.02,4,301.96,62.91,17.0,13.11,16.78,8.0,4.8,1.0,True
0.09,8,2416.5,274.79,56.0,31.25,134.25,14.0,8.79,3.0,True
0.12,17,6472.44,353.04,77.0,19.26,359.58,24.0,18.33,2.0,True
0.14,17,9370.8,418.34,89.0,18.68,520.6,24.0,22.4,2.0,True
0.14,19,7364.31,413.3,89.0,23.2,409.13,26.0,17.82,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0,True
0.19,19,11359.14,582.52,111.0,29.87,631.06,25.0,19.5,4.0,True
0.15,24,5973.51,448.01,86.0,33.6,331.86,36.0,13.33,2.0,True
0.18,19,6645.43,535.76,100.0,43.19,369.19,29.0,12.4,4.0,True
0.1,18,2883.89,307.16,62.0,32.72,160.22,28.0,9.39,7.0,True
0.01,3,86.37,43.19,13.0,21.59,4.8,6.0,2.0,1.0,True
0.24,29,14235.72,711.79,132.0,35.59,790.87,40.0,20.0,5.0,True
0.21,39,16950.73,620.15,129.0,22.69,941.71,45.0,27.33,8.0,True
0.19,38,14348.35,581.69,121.0,23.58,797.13,45.0,24.67,7.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,True
0.38,64,59009.54,1149.54,216.0,22.39,3278.31,160.0,51.33,18.0,True
0.14,18,7149.9,406.24,82.0,23.08,397.22,27.0,17.6,4.0,True
0.69,102,49298.55,2062.15,345.0,86.26,2738.81,121.0,23.91,22.0,True
0.02,7,352.28,62.91,17.0,11.23,19.57,12.0,5.6,2.0,True
0.03,6,314.01,81.41,22.0,21.11,17.44,26.0,3.86,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,6.0,True
0.18,20,9175.89,539.76,110.0,31.75,509.77,34.0,17.0,9.0,True
0.18,25,12011.92,540.54,103.0,24.32,667.33,33.0,22.22,9.0,True
0.78,89,97048.2,2349.2,382.0,56.87,5391.57,145.0,41.31,10.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,5.0,2.0,1.0,True
0.09,16,3530.54,262.33,54.0,19.49,196.14,28.0,13.46,7.0,True
0.19,29,11543.38,578.62,108.0,29.0,641.3,46.0,19.95,8.0,True
0.21,32,18342.91,638.63,120.0,22.23,1019.05,41.0,28.72,10.0,True
0.47,71,40251.99,1400.07,238.0,48.7,2236.22,85.0,28.75,18.0,True
0.34,43,48310.12,1005.84,189.0,20.94,2683.9,60.0,48.03,16.0,True
0.21,28,13880.6,616.92,113.0,27.42,771.14,31.0,22.5,7.0,True
0.24,34,18526.03,712.54,129.0,27.41,1029.22,39.0,26.0,8.0,True
0.17,23,9413.58,496.83,94.0,26.22,522.98,27.0,18.95,6.0,True
0.41,48,49004.57,1233.83,226.0,31.07,2722.48,62.0,39.72,16.0,True
1.06,115,163640.68,3191.88,498.0,62.26,9091.15,138.0,51.27,35.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,8.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,9.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,True
0.49,20,152114.74,1462.64,333.0,14.06,8450.82,26.0,104.0,34.0,True
0.43,30,18789.41,1290.59,235.0,88.65,1043.85,43.0,14.56,11.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,11.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,True
0.08,14,2033.51,225.95,47.0,25.11,112.97,17.0,9.0,5.0,True
0.06,14,1691.85,187.98,41.0,20.89,93.99,31.0,9.0,4.0,True
0.14,28,7599.79,434.27,84.0,24.82,422.21,42.0,17.5,7.0,True
0.06,14,1713.0,171.3,39.0,17.13,95.17,19.0,10.0,2.0,True
0.11,13,2607.88,333.67,68.0,42.69,144.88,20.0,7.82,3.0,True
0.08,10,3702.36,233.83,51.0,14.77,205.69,13.0,15.83,5.0,True
0.03,10,527.7,83.76,22.0,13.3,29.32,14.0,6.3,3.0,True
0.07,16,3434.79,224.01,51.0,14.61,190.82,20.0,15.33,4.0,True
0.94,105,139267.55,2813.49,456.0,56.84,7737.09,130.0,49.5,25.0,True
0.11,29,4398.21,315.77,65.0,22.67,244.34,37.0,13.93,6.0,True
0.12,16,4764.71,360.0,72.0,27.2,264.71,24.0,13.24,8.0,True
0.43,64,42377.72,1275.89,216.0,38.41,2354.32,89.0,33.21,9.0,True
0.22,23,20327.18,669.69,125.0,22.06,1129.29,28.0,30.35,9.0,True
0.48,61,31551.52,1453.03,245.0,66.92,1752.86,91.0,21.71,11.0,True
0.22,39,5663.15,653.44,117.0,75.4,314.62,42.0,8.67,6.0,True
0.56,65,98758.54,1678.8,299.0,28.54,5486.59,74.0,58.83,8.0,True
0.11,23,4690.0,335.0,67.0,23.93,260.56,33.0,14.0,4.0,True
0.45,75,30374.3,1335.13,232.0,58.69,1687.46,96.0,22.75,11.0,True
0.01,4,38.77,25.85,10.0,17.23,2.15,6.0,1.5,1.0,True
0.03,6,678.21,95.91,23.0,13.56,37.68,9.0,7.07,3.0,True
0.13,18,5632.38,404.24,86.0,29.01,312.91,21.0,13.93,7.0,True
0.81,99,95624.29,2419.94,431.0,61.24,5312.46,113.0,39.52,19.0,True
0.01,3,87.17,34.87,11.0,13.95,4.84,5.0,2.5,1.0,True
0.02,5,211.89,48.43,14.0,11.07,11.77,7.0,4.38,2.0,True
0.24,30,12647.85,708.28,137.0,39.66,702.66,43.0,17.86,4.0,True
0.31,50,18164.52,920.78,160.0,46.68,1009.14,63.0,19.73,12.0,True
0.02,5,187.33,66.61,18.0,23.68,10.41,8.0,2.81,1.0,True
0.02,4,93.01,46.51,14.0,23.25,5.17,8.0,2.0,1.0,True
0.02,4,93.01,46.51,14.0,23.25,5.17,8.0,2.0,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,38.0,True
0.58,77,100356.31,1725.75,309.0,29.68,5575.35,104.0,58.15,13.0,True
0.48,60,80523.48,1432.53,264.0,25.49,4473.53,77.0,56.21,8.0,True
0.19,28,7854.69,579.03,112.0,42.69,436.37,39.0,13.57,4.0,True
0.2,19,15330.08,589.62,108.0,22.68,851.67,30.0,26.0,4.0,True
0.26,35,11575.03,771.67,146.0,51.44,643.06,79.0,15.0,7.0,True
2.55,144,693194.02,7648.43,1098.0,84.39,38510.78,240.0,90.63,40.0,True
0.26,70,14512.58,789.8,136.0,42.98,806.25,86.0,18.38,12.0,True
0.35,63,12282.72,1035.31,192.0,87.27,682.37,82.0,11.86,15.0,True
0.56,66,90814.72,1679.16,304.0,31.05,5045.26,101.0,54.08,22.0,True
0.4,42,40908.48,1198.01,202.0,35.08,2272.69,55.0,34.15,12.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,12.0,True
0.01,4,108.97,34.87,11.0,11.16,6.05,8.0,3.12,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,25.0,True
0.1,20,2508.86,286.73,61.0,32.77,139.38,27.0,8.75,2.0,True
0.13,24,4323.1,385.83,73.0,34.44,240.17,32.0,11.2,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,7.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,16.0,True
0.08,18,3086.88,254.79,53.0,21.03,171.49,23.0,12.12,4.0,True
0.07,12,2323.84,199.71,42.0,17.16,129.1,16.0,11.64,3.0,True
0.26,48,20951.94,770.29,162.0,28.32,1164.0,54.0,27.2,7.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,True
0.1,9,2717.75,289.89,66.0,30.92,150.99,15.0,9.38,1.0,True
0.03,5,629.62,89.95,26.0,12.85,34.98,7.0,7.0,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,12.0,True
0.42,77,61718.34,1253.47,231.0,25.46,3428.8,81.0,49.24,24.0,True
0.11,19,6352.21,344.92,71.0,18.73,352.9,27.0,18.42,8.0,True
1.81,145,202995.67,5427.5,834.0,145.12,11277.54,164.0,37.4,5.0,True
1.11,91,59506.88,3339.0,486.0,187.35,3305.94,116.0,17.82,2.0,True
0.48,45,28722.62,1429.48,243.0,71.14,1595.7,56.0,20.09,5.0,True
0.29,45,27818.77,866.52,156.0,26.99,1545.49,60.0,32.1,8.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,True
1.55,140,167499.82,4662.45,693.0,129.78,9305.55,184.0,35.93,9.0,True
2.73,283,359168.94,8191.57,1186.0,186.83,19953.83,469.0,43.85,2.0,True
3.1,169,276879.2,9296.92,1237.0,312.17,15382.18,242.0,29.78,3.0,True
0.94,68,53039.56,2828.78,468.0,150.87,2946.64,96.0,18.75,1.0,True
4.24,393,913945.71,12727.36,1756.0,177.24,50774.76,463.0,71.81,94.0,True
1.82,151,209353.17,5466.14,842.0,142.72,11630.73,169.0,38.3,5.0,True
3.23,170,287464.24,9691.75,1396.0,326.75,15970.24,221.0,29.66,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,22.0,True
0.54,68,73943.47,1612.73,317.0,35.17,4107.97,85.0,45.85,4.0,True
1.14,95,62970.12,3427.34,565.0,186.54,3498.34,113.0,18.37,1.0,True
0.54,46,23292.68,1624.46,260.0,113.29,1294.04,91.0,14.34,2.0,True
0.1,16,2461.66,307.71,61.0,38.46,136.76,22.0,8.0,3.0,True
0.32,40,35432.13,970.74,172.0,26.6,1968.45,57.0,36.5,7.0,True
0.11,16,3079.54,317.29,66.0,32.68,171.09,22.0,9.71,2.0,True
0.11,16,2939.08,320.63,66.0,34.98,163.28,22.0,9.17,2.0,True
1.83,145,203890.96,5479.79,840.0,147.28,11327.28,163.0,37.21,5.0,True
0.24,145,4016.98,734.53,141.0,134.31,223.17,166.0,5.47,1.0,True
0.05,11,470.54,135.93,32.0,39.27,26.14,15.0,3.46,1.0,True
0.2,32,6514.48,593.15,110.0,54.01,361.92,41.0,10.98,5.0,True
0.6,41,57612.92,1795.19,297.0,55.94,3200.72,61.0,32.09,26.0,True
0.29,38,28563.14,855.41,154.0,25.62,1586.84,56.0,33.39,6.0,True
0.25,38,19975.32,757.99,153.0,28.76,1109.74,55.0,26.35,6.0,True
5.14,384,849494.97,15427.18,2057.0,280.16,47194.17,415.0,55.06,9.0,True
0.24,25,7142.89,734.43,138.0,75.51,396.83,43.0,9.73,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,6.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,6.0,True
1.82,145,209353.17,5466.14,842.0,142.72,11630.73,163.0,38.3,5.0,True
1.85,151,212301.39,5544.64,852.0,144.81,11794.52,168.0,38.29,5.0,True
3.74,287,496927.66,11205.23,1540.0,252.67,27607.09,324.0,44.35,6.0,True
1.83,148,207105.85,5479.56,842.0,144.98,11505.88,169.0,37.8,5.0,True
1.96,98,224308.42,5893.16,897.0,154.83,12461.58,139.0,38.06,5.0,True
4.5,359,879854.82,13503.77,1793.0,207.25,48880.82,455.0,65.16,23.0,True
0.43,61,9724.72,1296.63,213.0,172.88,540.26,66.0,7.5,3.0,True
0.9,93,53766.34,2690.27,422.0,134.61,2987.02,106.0,19.99,3.0,True
1.49,105,147512.6,4456.11,661.0,134.61,8195.13,123.0,33.1,2.0,True
1.34,112,146687.9,4005.13,643.0,109.36,8149.33,124.0,36.63,7.0,True
1.83,147,203890.96,5479.79,840.0,147.28,11327.28,163.0,37.21,5.0,True
0.76,67,23753.18,2273.52,365.0,217.61,1319.62,77.0,10.45,1.0,True
0.06,14,1134.22,166.8,40.0,24.53,63.01,26.0,6.8,2.0,True
0.31,31,27006.41,944.28,170.0,33.02,1500.36,65.0,28.6,7.0,True
0.21,34,15796.21,626.83,117.0,24.87,877.57,52.0,25.2,6.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0,True
0.22,30,11490.16,656.58,127.0,37.52,638.34,53.0,17.5,10.0,True
0.11,12,3172.85,326.9,68.0,33.68,176.27,24.0,9.71,5.0,True
0.04,9,582.35,123.19,29.0,26.06,32.35,17.0,4.73,2.0,True
0.26,28,8589.6,768.86,140.0,68.82,477.2,45.0,11.17,1.0,True
0.26,25,10157.26,780.44,139.0,59.97,564.29,38.0,13.01,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,3.0,True
0.93,80,61634.6,2803.39,434.0,127.51,3424.14,152.0,21.99,3.0,True
0.14,21,5442.89,430.0,86.0,33.97,302.38,34.0,12.66,7.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,True
0.29,34,22384.84,868.55,168.0,33.7,1243.6,55.0,25.77,4.0,True
0.18,26,10621.32,535.0,107.0,26.95,590.07,42.0,19.85,5.0,True
0.1,23,2948.03,294.8,62.0,29.48,163.78,35.0,10.0,4.0,True
0.15,25,9145.48,446.96,94.0,21.84,508.08,36.0,20.46,4.0,True
0.6,77,62875.51,1789.14,296.0,50.91,3493.08,117.0,35.14,18.0,True
0.04,5,966.96,117.21,30.0,14.21,53.72,13.0,8.25,3.0,True
